,address,coordinates
0,"321 Butts Ave, Tomah, WI 54660, USA","43.98400074,-90.51535328"
1,"2600 N Woodlawn St, Wichita, KS 67220, USA","37.73122465,-97.26058197"
2,"5959 Park Ave, Memphis, TN 38119, USA","35.09820503,-89.86487519"
3,"10631 8th Ave NE, Seattle, WA 98125, USA","47.70662682,-122.3211426"
4,"2300 Lone Star Rd, Mansfield, TX 76063, USA","32.53675421,-97.09949118"
5,"2600 St Michael Dr, Texarkana, TX 75503, USA","33.46417889,-94.0754934"
6,"1901 N H St, Pensacola, FL 32501, USA","30.4323569,-87.23315589"
7,"1404 River Pl, Hoschton, GA 30548, USA","34.120536,-83.8377"
8,"125 Buena Vista Cir, South Hill, VA 23970, USA","36.73360094,-78.13344839"
9,"2001 Old West Chester Pike, Havertown, PA 19083, USA","39.97502538,-75.33442904"
10,"202 Brady St, Sitka, AK 99835, USA","57.05976133,-135.346935"
11,"501 South Burma Avenue, Gillette, WY 82716, USA","44.28988265,-105.5174792"
12,"11131 Dunn Rd, St. Louis, MO 63136, USA","38.77658169,-90.24035806"
13,"103 S Main St, Waterbury Village Historic District, VT 05676, USA","44.33191854,-72.7539322"
14,"324 Miller Mountain Rd, Webster Springs, WV 26288, USA","38.48226133,-80.41068752"
15,"3300 19th Ave, Forest Grove, OR 97116, USA","45.51778013,-123.0894751"
16,"Aurora Medical Center, Oshkosh, WI 54904, USA","44.02774678,-88.59521837"
17,"4015 S, 4015 McLeod Dr, Las Vegas, NV 89121, USA","36.11658616,-115.1103846"
18,"4400 Hickory Shores Blvd, Gulf Breeze, FL 32563, USA","30.39777632,-87.03943309"
19,"Texas State Hospital, San Antonio, TX 78223, USA","29.36023525,-98.4579838"
20,"2280 Ivy Rd, Charlottesville, VA 22903, USA","38.04526648,-78.5206042"
21,"8260 Atlee Rd, Mechanicsville, VA 23116, USA","37.62841548,-77.38651607"
22,"200 Calle Hernandez Carrion Ste 4407 Manati PR, Manatí, 00674, Puerto Rico","18.43455435,-66.4824951"
23,"1100 Grampian Blvd, Williamsport, PA 17701, USA","41.260041,-76.984769"
24,"3150 Gershwin Dr, Green Bay, WI 54311, USA","44.52271226,-87.92482708"
25,"1600 Hospital Way, Whitefish, MT 59937, USA","48.38027696,-114.3313438"
26,"310 S Sansome St, Philipsburg, MT 59858, USA","46.33007221,-113.2941639"
27,"1401 Pearl St, Faulkton, SD 57438, USA","45.03065572,-99.13263837"
28,"Gwendolyn W. Isler, RD, 510 Butler Ave, Martinsburg, WV 25405, USA","39.41771145,-77.91111267"
